customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,Yes,Yes,52,Yes,No,DSL,No,No,One year,Yes,Credit card (automatic),54.22,2840.49,No
CUST-00001,Female,0,No,Yes,15,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.45,658.82,No
CUST-00002,Male,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),76.19,4641.44,No
CUST-00003,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),51.46,1002.64,No
CUST-00004,Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,Two year,No,Bank transfer (automatic),28.44,732.19,No
CUST-00005,Female,0,No,No,3,Yes,No,DSL,Yes,Yes,Two year,No,Bank transfer (automatic),88.5,253.01,No
CUST-00006,Male,0,No,No,22,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,90.78,2060.88,No
CUST-00007,Female,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,Two year,No,Bank transfer (automatic),56.0,3008.8,No
CUST-00008,Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,One year,No,Bank transfer (automatic),27.67,105.13,No
CUST-00009,Female,0,No,Yes,30,Yes,Yes,DSL,Yes,No,Two year,Yes,Electronic check,62.63,1997.32,No
CUST-00010,Female,1,Yes,No,38,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,64.23,2454.84,Yes
CUST-00011,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,86.87,245.88,No
CUST-00012,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,51.54,3278.32,No
CUST-00013,Male,0,No,Yes,60,Yes,No,Fiber optic,No,No,One year,No,Bank transfer (automatic),88.26,5322.64,No
CUST-00014,Female,1,No,Yes,21,Yes,No,Fiber optic,Yes,Yes,Two year,No,Mailed check,107.15,2225.04,No
CUST-00015,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),43.75,1467.71,Yes
CUST-00016,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),117.89,6856.36,Yes
CUST-00017,Female,1,No,Yes,22,Yes,Yes,DSL,Yes,No,Month-to-month,No,Mailed check,58.64,1187.05,No
CUST-00018,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,Two year,Yes,Bank transfer (automatic),46.73,2259.18,No
CUST-00019,Female,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.15,3678.37,No
CUST-00020,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,29.44,1123.61,No
CUST-00021,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),32.57,1949.41,No
CUST-00022,Female,0,No,No,15,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,61.44,972.02,Yes
CUST-00023,Male,0,No,Yes,62,Yes,Yes,DSL,No,No,One year,No,Credit card (automatic),96.24,6031.89,No
CUST-00024,Female,0,Yes,No,62,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,110.03,6782.74,No
CUST-00025,Male,0,No,No,47,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),86.48,4132.78,No
CUST-00026,Male,1,No,No,62,Yes,No,DSL,Yes,No,Two year,No,Electronic check,30.52,1952.65,No
CUST-00027,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),87.2,4339.81,No
CUST-00028,Male,0,No,No,55,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,83.54,4600.49,No
CUST-00029,Male,0,No,Yes,64,Yes,Yes,DSL,Yes,No,Two year,No,Mailed check,100.58,6448.44,No
CUST-00030,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,102.52,383.5,Yes
CUST-00031,Male,0,No,No,51,Yes,Yes,DSL,Yes,Yes,One year,No,Electronic check,106.82,5462.14,No
CUST-00032,Male,0,Yes,No,7,No,No phone service,DSL,No,No,Two year,Yes,Electronic check,61.41,499.56,No
CUST-00033,Male,1,Yes,Yes,21,Yes,No,DSL,No,No,Month-to-month,No,Credit card (automatic),89.79,1846.55,No
CUST-00034,Female,0,Yes,No,39,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),46.83,1746.47,No
CUST-00035,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),119.93,2126.35,No
CUST-00036,Male,0,Yes,No,4,No,No phone service,Fiber optic,No,No,Two year,No,Bank transfer (automatic),37.53,228.97,No
CUST-00037,Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,21.01,1306.9,Yes
